Id,ChannelType,Address,Attributes.PreferredChannel,User.UserId,User.UserAttributes.FirstName
myendpointid39999,EMAIL,example39999@example.com,Yes,39999,Jane
myendpointid40000,EMAIL,example40000@example.com,Yes,40000,Joe
myendpointid40001,EMAIL,example40001@example.com,Yes,40001,Jane
myendpointid40002,EMAIL,example40002@example.com,Yes,40002,Joe
myendpointid40003,EMAIL,example40003@example.com,Yes,40003,Jane
myendpointid40004,EMAIL,example40004@example.com,Yes,40004,Joe
myendpointid40005,EMAIL,example40005@example.com,Yes,40005,Jane
myendpointid40006,EMAIL,example40006@example.com,Yes,40006,Joe
myendpointid40007,EMAIL,example40007@example.com,Yes,40007,Jane
myendpointid40008,EMAIL,example40008@example.com,Yes,40008,Joe
myendpointid40009,EMAIL,example40009@example.com,Yes,40009,Jane
myendpointid40010,EMAIL,example40010@example.com,Yes,40010,Joe
myendpointid40011,EMAIL,example40011@example.com,Yes,40011,Jane
myendpointid40012,EMAIL,example40012@example.com,Yes,40012,Joe
myendpointid40013,EMAIL,example40013@example.com,Yes,40013,Jane
myendpointid40014,EMAIL,example40014@example.com,Yes,40014,Joe
myendpointid40015,EMAIL,example40015@example.com,Yes,40015,Jane
myendpointid40016,EMAIL,example40016@example.com,Yes,40016,Joe
myendpointid40017,EMAIL,example40017@example.com,Yes,40017,Jane
myendpointid40018,EMAIL,example40018@example.com,Yes,40018,Joe
myendpointid40019,EMAIL,example40019@example.com,Yes,40019,Jane
myendpointid40020,EMAIL,example40020@example.com,Yes,40020,Joe
myendpointid40021,EMAIL,example40021@example.com,Yes,40021,Jane
myendpointid40022,EMAIL,example40022@example.com,Yes,40022,Joe
myendpointid40023,EMAIL,example40023@example.com,Yes,40023,Jane
myendpointid40024,EMAIL,example40024@example.com,Yes,40024,Joe
myendpointid40025,EMAIL,example40025@example.com,Yes,40025,Jane
myendpointid40026,EMAIL,example40026@example.com,Yes,40026,Joe
myendpointid40027,EMAIL,example40027@example.com,Yes,40027,Jane
myendpointid40028,EMAIL,example40028@example.com,Yes,40028,Joe
myendpointid40029,EMAIL,example40029@example.com,Yes,40029,Jane
myendpointid40030,EMAIL,example40030@example.com,Yes,40030,Joe
myendpointid40031,EMAIL,example40031@example.com,Yes,40031,Jane
myendpointid40032,EMAIL,example40032@example.com,Yes,40032,Joe
myendpointid40033,EMAIL,example40033@example.com,Yes,40033,Jane
myendpointid40034,EMAIL,example40034@example.com,Yes,40034,Joe
myendpointid40035,EMAIL,example40035@example.com,Yes,40035,Jane
myendpointid40036,EMAIL,example40036@example.com,Yes,40036,Joe
myendpointid40037,EMAIL,example40037@example.com,Yes,40037,Jane
myendpointid40038,EMAIL,example40038@example.com,Yes,40038,Joe
myendpointid40039,EMAIL,example40039@example.com,Yes,40039,Jane
myendpointid40040,EMAIL,example40040@example.com,Yes,40040,Joe
myendpointid40041,EMAIL,example40041@example.com,Yes,40041,Jane
myendpointid40042,EMAIL,example40042@example.com,Yes,40042,Joe
myendpointid40043,EMAIL,example40043@example.com,Yes,40043,Jane
myendpointid40044,EMAIL,example40044@example.com,Yes,40044,Joe
myendpointid40045,EMAIL,example40045@example.com,Yes,40045,Jane
myendpointid40046,EMAIL,example40046@example.com,Yes,40046,Joe
myendpointid40047,EMAIL,example40047@example.com,Yes,40047,Jane
myendpointid40048,EMAIL,example40048@example.com,Yes,40048,Joe
myendpointid40049,EMAIL,example40049@example.com,Yes,40049,Jane
myendpointid40050,EMAIL,example40050@example.com,Yes,40050,Joe
myendpointid40051,EMAIL,example40051@example.com,Yes,40051,Jane
myendpointid40052,EMAIL,example40052@example.com,Yes,40052,Joe
myendpointid40053,EMAIL,example40053@example.com,Yes,40053,Jane
myendpointid40054,EMAIL,example40054@example.com,Yes,40054,Joe
myendpointid40055,EMAIL,example40055@example.com,Yes,40055,Jane
myendpointid40056,EMAIL,example40056@example.com,Yes,40056,Joe
myendpointid40057,EMAIL,example40057@example.com,Yes,40057,Jane
myendpointid40058,EMAIL,example40058@example.com,Yes,40058,Joe
myendpointid40059,EMAIL,example40059@example.com,Yes,40059,Jane
myendpointid40060,EMAIL,example40060@example.com,Yes,40060,Joe
myendpointid40061,EMAIL,example40061@example.com,Yes,40061,Jane
myendpointid40062,EMAIL,example40062@example.com,Yes,40062,Joe
myendpointid40063,EMAIL,example40063@example.com,Yes,40063,Jane
myendpointid40064,EMAIL,example40064@example.com,Yes,40064,Joe
myendpointid40065,EMAIL,example40065@example.com,Yes,40065,Jane
myendpointid40066,EMAIL,example40066@example.com,Yes,40066,Joe
myendpointid40067,EMAIL,example40067@example.com,Yes,40067,Jane
myendpointid40068,EMAIL,example40068@example.com,Yes,40068,Joe
myendpointid40069,EMAIL,example40069@example.com,Yes,40069,Jane
myendpointid40070,EMAIL,example40070@example.com,Yes,40070,Joe
myendpointid40071,EMAIL,example40071@example.com,Yes,40071,Jane
myendpointid40072,EMAIL,example40072@example.com,Yes,40072,Joe
myendpointid40073,EMAIL,example40073@example.com,Yes,40073,Jane
myendpointid40074,EMAIL,example40074@example.com,Yes,40074,Joe
myendpointid40075,EMAIL,example40075@example.com,Yes,40075,Jane
myendpointid40076,EMAIL,example40076@example.com,Yes,40076,Joe
myendpointid40077,EMAIL,example40077@example.com,Yes,40077,Jane
myendpointid40078,EMAIL,example40078@example.com,Yes,40078,Joe
myendpointid40079,EMAIL,example40079@example.com,Yes,40079,Jane
myendpointid40080,EMAIL,example40080@example.com,Yes,40080,Joe
myendpointid40081,EMAIL,example40081@example.com,Yes,40081,Jane
myendpointid40082,EMAIL,example40082@example.com,Yes,40082,Joe
myendpointid40083,EMAIL,example40083@example.com,Yes,40083,Jane
myendpointid40084,EMAIL,example40084@example.com,Yes,40084,Joe
myendpointid40085,EMAIL,example40085@example.com,Yes,40085,Jane
myendpointid40086,EMAIL,example40086@example.com,Yes,40086,Joe
myendpointid40087,EMAIL,example40087@example.com,Yes,40087,Jane
myendpointid40088,EMAIL,example40088@example.com,Yes,40088,Joe
